# timestamp;imu_1_accel x;imu_1_accel y;imu_1_accel z;imu_1_gyro x;imu_1_gyro y;imu_1_gyro z;imu_2_accel x;imu_2_accel y;imu_2_accel z;imu_2_gyro x;imu_2_gyro y;imu_2_gyro z;encoder_1;encoder_2;force_1;force_2
0.000000000000000000e+00;-1.544000000000000000e+03;4.520000000000000000e+02;1.597200000000000000e+04;4.950000000000000000e+02;4.800000000000000000e+01;-4.500000000000000000e+01;-2.424000000000000000e+03;2.072000000000000000e+03;-1.718400000000000000e+04;-1.790000000000000000e+02;1.160000000000000000e+02;-1.340000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.136000000000000000e+03;0.000000000000000000e+00
1.825165759588288222e-02;-1.528000000000000000e+03;3.800000000000000000e+02;1.603600000000000000e+04;5.420000000000000000e+02;-2.100000000000000000e+01;-5.900000000000000000e+01;-2.360000000000000000e+03;2.028000000000000000e+03;-1.719600000000000000e+04;-1.450000000000000000e+02;9.200000000000000000e+01;-1.120000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.008000000000000000e+03;0.000000000000000000e+00
3.650331519176576445e-02;-1.472000000000000000e+03;4.360000000000000000e+02;1.593600000000000000e+04;4.990000000000000000e+02;-1.500000000000000000e+01;-2.100000000000000000e+01;-2.340000000000000000e+03;2.056000000000000000e+03;-1.722000000000000000e+04;-1.810000000000000000e+02;1.130000000000000000e+02;-1.310000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.264000000000000000e+03;0.000000000000000000e+00
5.475497278764864667e-02;-1.464000000000000000e+03;4.560000000000000000e+02;1.607600000000000000e+04;5.030000000000000000e+02;8.000000000000000000e+00;-5.700000000000000000e+01;-2.392000000000000000e+03;2.020000000000000000e+03;-1.721200000000000000e+04;-1.250000000000000000e+02;7.600000000000000000e+01;-1.010000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.040000000000000000e+03;0.000000000000000000e+00
7.300663038353152889e-02;-1.508000000000000000e+03;4.440000000000000000e+02;1.597600000000000000e+04;4.920000000000000000e+02;4.400000000000000000e+01;-4.100000000000000000e+01;-2.452000000000000000e+03;2.064000000000000000e+03;-1.723600000000000000e+04;-1.370000000000000000e+02;1.260000000000000000e+02;-1.300000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.120000000000000000e+03;0.000000000000000000e+00
9.125828797941440418e-02;-1.452000000000000000e+03;4.360000000000000000e+02;1.595200000000000000e+04;5.100000000000000000e+02;-5.700000000000000000e+01;-1.900000000000000000e+01;-2.324000000000000000e+03;2.068000000000000000e+03;-1.718400000000000000e+04;-1.810000000000000000e+02;1.200000000000000000e+02;-1.020000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.312000000000000000e+03;0.000000000000000000e+00
1.095099455752972933e-01;-1.596000000000000000e+03;4.560000000000000000e+02;1.603600000000000000e+04;5.230000000000000000e+02;-2.000000000000000000e+01;-1.000000000000000000e+01;-2.496000000000000000e+03;2.124000000000000000e+03;-1.716000000000000000e+04;-1.610000000000000000e+02;1.130000000000000000e+02;-1.070000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;8.800000000000000000e+02;0.000000000000000000e+00
1.277616031711801825e-01;-1.632000000000000000e+03;4.960000000000000000e+02;1.598800000000000000e+04;4.820000000000000000e+02;3.800000000000000000e+01;-2.900000000000000000e+01;-2.428000000000000000e+03;2.056000000000000000e+03;-1.710400000000000000e+04;-9.600000000000000000e+01;5.700000000000000000e+01;-9.800000000000000000e+01;1.000000000000000000e+01;0.000000000000000000e+00;1.024000000000000000e+03;0.000000000000000000e+00
1.460132607670630578e-01;-1.512000000000000000e+03;5.440000000000000000e+02;1.594400000000000000e+04;5.060000000000000000e+02;4.800000000000000000e+01;-6.500000000000000000e+01;-2.492000000000000000e+03;2.024000000000000000e+03;-1.712800000000000000e+04;-1.060000000000000000e+02;1.040000000000000000e+02;-1.360000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.008000000000000000e+03;0.000000000000000000e+00
1.642649183629459331e-01;-1.548000000000000000e+03;4.920000000000000000e+02;1.596000000000000000e+04;5.220000000000000000e+02;2.000000000000000000e+01;-5.400000000000000000e+01;-2.400000000000000000e+03;2.104000000000000000e+03;-1.716400000000000000e+04;-1.680000000000000000e+02;6.200000000000000000e+01;-1.260000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.120000000000000000e+03;0.000000000000000000e+00
1.825165759588288084e-01;-1.564000000000000000e+03;4.640000000000000000e+02;1.604000000000000000e+04;5.020000000000000000e+02;-2.600000000000000000e+01;-3.600000000000000000e+01;-2.260000000000000000e+03;2.108000000000000000e+03;-1.716000000000000000e+04;-1.660000000000000000e+02;1.150000000000000000e+02;-1.070000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;9.440000000000000000e+02;0.000000000000000000e+00
2.007682335547117114e-01;-1.504000000000000000e+03;4.320000000000000000e+02;1.602000000000000000e+04;4.750000000000000000e+02;-1.000000000000000000e+00;-3.400000000000000000e+01;-2.376000000000000000e+03;2.024000000000000000e+03;-1.717200000000000000e+04;-1.100000000000000000e+02;8.400000000000000000e+01;-1.340000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;8.640000000000000000e+02;0.000000000000000000e+00
2.190198911505945867e-01;-1.440000000000000000e+03;4.960000000000000000e+02;1.596000000000000000e+04;5.120000000000000000e+02;-2.400000000000000000e+01;-4.400000000000000000e+01;-2.384000000000000000e+03;2.020000000000000000e+03;-1.728800000000000000e+04;-1.770000000000000000e+02;5.900000000000000000e+01;-1.240000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;8.480000000000000000e+02;0.000000000000000000e+00
2.372715487464774620e-01;-1.552000000000000000e+03;4.520000000000000000e+02;1.577200000000000000e+04;5.120000000000000000e+02;3.300000000000000000e+01;-1.700000000000000000e+01;-2.424000000000000000e+03;2.064000000000000000e+03;-1.721600000000000000e+04;-1.860000000000000000e+02;8.600000000000000000e+01;-1.580000000000000000e+02;1.000000000000000000e+01;0.000000000000000000e+00;1.088000000000000000e+03;0.000000000000000000e+00
2.555232063423603650e-01;-1.584000000000000000e+03;4.640000000000000000e+02;1.593200000000000000e+04;5.200000000000000000e+02;-6.700000000000000000e+01;-4.300000000000000000e+01;-2.372000000000000000e+03;2.116000000000000000e+03;-1.725200000000000000e+04;-1.390000000000000000e+02;8.600000000000000000e+01;-1.250000000000000000e+02;1.100000000000000000e+01;0.000000000000000000e+00;9.440000000000000000e+02;0.000000000000000000e+00
2.737748639382432403e-01;-1.608000000000000000e+03;4.600000000000000000e+02;1.600000000000000000e+04;4.840000000000000000e+02;6.400000000000000000e+01;-5.800000000000000000e+01;-2.408000000000000000e+03;2.104000000000000000e+03;-1.719600000000000000e+04;-1.360000000000000000e+02;1.080000000000000000e+02;-1.370000000000000000e+02;1.100000000000000000e+01;0.000000000000000000e+00;1.120000000000000000e+02;0.000000000000000000e+00
