# torque;speed;phase_a;phase_b;phase_c;angle;encoder;rotations;voltage;temperature
2.343750000000000000e-02;2.980000000000000071e+01;-1.562500000000000000e-01;-1.562500000000000000e-02;1.718750000000000000e-01;9.832000000000000739e+01;4.495000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.636718750000000000e-02;3.850000000000000000e+01;-1.562500000000000000e-01;1.093750000000000000e-01;4.687500000000000000e-02;1.062999999999999972e+02;4.864000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;4.829999999999999716e+01;-7.812500000000000000e-02;0.000000000000000000e+00;7.812500000000000000e-02;1.152000000000000028e+02;5.266000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.171875000000000000e-02;4.460000000000000142e+01;7.812500000000000000e-02;0.000000000000000000e+00;-7.812500000000000000e-02;1.227600000000000051e+02;5.611000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.859375000000000000e-03;4.470000000000000284e+01;4.687500000000000000e-02;-4.687500000000000000e-02;0.000000000000000000e+00;1.321999999999999886e+02;6.040000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;3.139999999999999858e+01;-7.812500000000000000e-02;-9.375000000000000000e-02;1.718750000000000000e-01;1.418100000000000023e+02;6.470000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;2.550000000000000000e+01;-1.718750000000000000e-01;-4.687500000000000000e-02;2.187500000000000000e-01;1.500000000000000000e+02;6.840000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.515625000000000000e-02;2.889999999999999858e+01;-2.031250000000000000e-01;2.500000000000000000e-01;-4.687500000000000000e-02;1.580699999999999932e+02;7.210000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.343750000000000000e-02;3.610000000000000142e+01;-7.812500000000000000e-02;1.875000000000000000e-01;-1.093750000000000000e-01;1.664399999999999977e+02;7.593000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;4.550000000000000000e+01;7.812500000000000000e-02;4.687500000000000000e-02;-1.250000000000000000e-01;1.734000000000000057e+02;7.913000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.273437500000000000e-02;3.400000000000000000e+01;2.656250000000000000e-01;-1.250000000000000000e-01;-1.406250000000000000e-01;1.816400000000000148e+02;8.282000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.343750000000000000e-02;2.930000000000000071e+01;-1.562500000000000000e-02;-7.812500000000000000e-02;9.375000000000000000e-02;1.908700000000000045e+02;8.703000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.566406250000000000e-02;3.180000000000000071e+01;-1.562500000000000000e-01;-7.812500000000000000e-02;2.343750000000000000e-01;1.991800000000000068e+02;9.081000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.929687500000000000e-02;3.139999999999999858e+01;-1.406250000000000000e-01;1.093750000000000000e-01;3.125000000000000000e-02;2.084300000000000068e+02;9.506000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.757812500000000000e-02;2.510000000000000142e+01;-7.812500000000000000e-02;1.562500000000000000e-01;-7.812500000000000000e-02;2.186400000000000148e+02;9.970000000000000000e+03;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
8.789062500000000000e-03;3.879999999999999716e+01;0.000000000000000000e+00;-1.562500000000000000e-02;1.562500000000000000e-02;2.264000000000000057e+02;1.032600000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.929687500000000000e-03;5.139999999999999858e+01;1.562500000000000000e-02;0.000000000000000000e+00;-1.562500000000000000e-02;2.344000000000000057e+02;1.069200000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
8.789062500000000000e-03;4.239999999999999858e+01;-9.375000000000000000e-02;-7.812500000000000000e-02;1.718750000000000000e-01;2.430999999999999943e+02;1.108300000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.687500000000000000e-02;3.610000000000000142e+01;-1.718750000000000000e-01;-7.812500000000000000e-02;2.500000000000000000e-01;2.512100000000000080e+02;1.145200000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.273437500000000000e-02;3.460000000000000142e+01;-2.656250000000000000e-01;2.656250000000000000e-01;0.000000000000000000e+00;2.601700000000000159e+02;1.186000000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.394531250000000000e-02;1.950000000000000000e+01;-9.375000000000000000e-02;2.968750000000000000e-01;-2.031250000000000000e-01;2.701700000000000159e+02;1.231100000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.171875000000000000e-02;2.710000000000000142e+01;1.718750000000000000e-01;0.000000000000000000e+00;-1.718750000000000000e-01;2.785600000000000023e+02;1.269600000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.464843750000000000e-02;3.920000000000000284e+01;6.250000000000000000e-02;-6.250000000000000000e-02;0.000000000000000000e+00;2.868500000000000227e+02;1.307600000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
-2.929687500000000000e-03;4.789999999999999858e+01;-1.406250000000000000e-01;1.562500000000000000e-02;1.250000000000000000e-01;2.953500000000000227e+02;1.346200000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.980468750000000000e-02;3.650000000000000000e+01;-2.031250000000000000e-01;-4.687500000000000000e-02;2.500000000000000000e-01;3.031700000000000159e+02;1.381500000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.566406250000000000e-02;3.510000000000000142e+01;-2.656250000000000000e-01;2.500000000000000000e-01;1.562500000000000000e-02;3.117900000000000205e+02;1.420900000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.515625000000000000e-02;2.819999999999999929e+01;-9.375000000000000000e-02;2.656250000000000000e-01;-1.718750000000000000e-01;3.209700000000000273e+02;1.462400000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;2.960000000000000142e+01;4.687500000000000000e-02;4.687500000000000000e-02;-9.375000000000000000e-02;3.296100000000000136e+02;1.501900000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
8.789062500000000000e-03;3.810000000000000142e+01;3.125000000000000000e-02;-6.250000000000000000e-02;3.125000000000000000e-02;3.378700000000000045e+02;1.539900000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.859375000000000000e-03;4.510000000000000142e+01;-1.093750000000000000e-01;3.125000000000000000e-02;7.812500000000000000e-02;3.469900000000000091e+02;1.582100000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;4.050000000000000000e+01;-1.406250000000000000e-01;0.000000000000000000e+00;1.406250000000000000e-01;3.543899999999999864e+02;1.614800000000000000e+04;0.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
6.445312500000000000e-02;2.539999999999999858e+01;-3.437500000000000000e-01;3.437500000000000000e-01;0.000000000000000000e+00;3.629200000000000159e+02;1.652800000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;2.410000000000000142e+01;-1.406250000000000000e-01;1.718750000000000000e-01;-3.125000000000000000e-02;3.716800000000000068e+02;1.692900000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.515625000000000000e-02;3.210000000000000142e+01;3.125000000000000000e-02;3.125000000000000000e-02;-6.250000000000000000e-02;3.793299999999999841e+02;1.728200000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
-8.789062500000000000e-03;4.760000000000000142e+01;-1.562500000000000000e-02;-3.125000000000000000e-02;4.687500000000000000e-02;3.873100000000000023e+02;1.765000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
8.789062500000000000e-03;5.010000000000000142e+01;-4.687500000000000000e-02;4.687500000000000000e-02;0.000000000000000000e+00;3.954600000000000364e+02;1.802000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.515625000000000000e-02;3.810000000000000142e+01;-1.875000000000000000e-01;-6.250000000000000000e-02;2.500000000000000000e-01;4.040500000000000114e+02;1.840500000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;3.300000000000000000e+01;-2.343750000000000000e-01;1.093750000000000000e-01;1.250000000000000000e-01;4.125300000000000296e+02;1.879000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.636718750000000000e-02;2.700000000000000000e+01;-1.093750000000000000e-01;2.187500000000000000e-01;-1.093750000000000000e-01;4.229000000000000341e+02;1.926000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.222656250000000000e-02;2.669999999999999929e+01;1.406250000000000000e-01;6.250000000000000000e-02;-2.031250000000000000e-01;4.310500000000000114e+02;1.963000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;2.800000000000000000e+01;2.812500000000000000e-01;-1.250000000000000000e-01;-1.562500000000000000e-01;4.394000000000000341e+02;2.001200000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
-5.566406250000000000e-02;3.429999999999999716e+01;-1.406250000000000000e-01;0.000000000000000000e+00;1.406250000000000000e-01;4.488100000000000023e+02;2.045500000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;4.070000000000000284e+01;-7.812500000000000000e-02;0.000000000000000000e+00;7.812500000000000000e-02;4.571100000000000136e+02;2.082700000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;4.289999999999999858e+01;-1.250000000000000000e-01;1.718750000000000000e-01;-4.687500000000000000e-02;4.648299999999999841e+02;2.118000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.343750000000000000e-02;4.310000000000000142e+01;-6.250000000000000000e-02;1.562500000000000000e-01;-9.375000000000000000e-02;4.736399999999999864e+02;2.158000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.636718750000000000e-02;3.239999999999999858e+01;7.812500000000000000e-02;6.250000000000000000e-02;-1.406250000000000000e-01;4.817699999999999818e+02;2.194000000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.636718750000000000e-02;3.400000000000000000e+01;1.093750000000000000e-01;-9.375000000000000000e-02;-1.562500000000000000e-02;4.905600000000000023e+02;2.234200000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.757812500000000000e-02;2.919999999999999929e+01;-3.125000000000000000e-02;-1.250000000000000000e-01;1.562500000000000000e-01;5.002200000000000273e+02;2.278100000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.636718750000000000e-02;2.450000000000000000e+01;-1.718750000000000000e-01;-4.687500000000000000e-02;2.187500000000000000e-01;5.091000000000000227e+02;2.318500000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.515625000000000000e-02;2.960000000000000142e+01;-1.875000000000000000e-01;2.031250000000000000e-01;-1.562500000000000000e-02;5.175600000000000591e+02;2.356900000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.343750000000000000e-02;3.810000000000000142e+01;-6.250000000000000000e-02;1.718750000000000000e-01;-1.093750000000000000e-01;5.257100000000000364e+02;2.395300000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
-1.171875000000000000e-02;4.610000000000000142e+01;9.375000000000000000e-02;3.125000000000000000e-02;-1.250000000000000000e-01;5.334700000000000273e+02;2.429800000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.980468750000000000e-02;3.829999999999999716e+01;7.812500000000000000e-02;-7.812500000000000000e-02;0.000000000000000000e+00;5.418600000000000136e+02;2.467700000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.050781250000000000e-02;3.300000000000000000e+01;-3.125000000000000000e-02;-9.375000000000000000e-02;1.250000000000000000e-01;5.513999999999999773e+02;2.511100000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.101562500000000000e-02;3.250000000000000000e+01;-1.406250000000000000e-01;-1.562500000000000000e-02;1.562500000000000000e-01;5.597899999999999636e+02;2.549300000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
4.101562500000000000e-02;2.839999999999999858e+01;-2.343750000000000000e-01;1.875000000000000000e-01;4.687500000000000000e-02;5.693700000000000045e+02;2.593100000000000000e+04;1.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
